"Label (Grouping)","Bronx County, New York!!Number!!Estimate","Bronx County, New York!!Number!!Margin of Error","Bronx County, New York!!Percent Distribution!!Estimate","Bronx County, New York!!Percent Distribution!!Margin of Error","Bronx County, New York!!Median income (dollars)!!Estimate","Bronx County, New York!!Median income (dollars)!!Margin of Error","Kings County, New York!!Number!!Estimate","Kings County, New York!!Number!!Margin of Error","Kings County, New York!!Percent Distribution!!Estimate","Kings County, New York!!Percent Distribution!!Margin of Error","Kings County, New York!!Median income (dollars)!!Estimate","Kings County, New York!!Median income (dollars)!!Margin of Error","New York County, New York!!Number!!Estimate","New York County, New York!!Number!!Margin of Error","New York County, New York!!Percent Distribution!!Estimate","New York County, New York!!Percent Distribution!!Margin of Error","New York County, New York!!Median income (dollars)!!Estimate","New York County, New York!!Median income (dollars)!!Margin of Error","Queens County, New York!!Number!!Estimate","Queens County, New York!!Number!!Margin of Error","Queens County, New York!!Percent Distribution!!Estimate","Queens County, New York!!Percent Distribution!!Margin of Error","Queens County, New York!!Median income (dollars)!!Estimate","Queens County, New York!!Median income (dollars)!!Margin of Error","Richmond County, New York!!Number!!Estimate","Richmond County, New York!!Number!!Margin of Error","Richmond County, New York!!Percent Distribution!!Estimate","Richmond County, New York!!Percent Distribution!!Margin of Error","Richmond County, New York!!Median income (dollars)!!Estimate","Richmond County, New York!!Median income (dollars)!!Margin of Error","New York city, New York!!Number!!Estimate","New York city, New York!!Number!!Margin of Error","New York city, New York!!Percent Distribution!!Estimate","New York city, New York!!Percent Distribution!!Margin of Error","New York city, New York!!Median income (dollars)!!Estimate","New York city, New York!!Median income (dollars)!!Margin of Error"
"    15 to 24 years","12,651","±2,457","2.4%","±0.5","37,891","±12,391","32,274","±2,850","3.1%","±0.3","55,391","±12,727","31,107","±3,299","3.9%","±0.4","64,454","±11,302","18,775","±2,712","2.2%","±0.3","60,518","±10,893","1,551","±728","0.9%","±0.4","27,278","±40,132","96,358","±5,751","2.8%","±0.2","55,509","±6,786"
"    25 to 44 years","180,008","±5,285","33.5%","±0.8","51,811","±2,642","405,708","±5,331","39.2%","±0.5","102,499","±3,485","309,517","±6,976","39.3%","±0.7","143,456","±4,963","276,186","±4,406","32.0%","±0.5","95,802","±3,165","47,842","±2,102","28.2%","±1.2","105,704","±15,919","1,219,261","±11,336","35.9%","±0.3","98,422","±2,109"
"    45 to 64 years","209,381","±4,596","38.9%","±0.9","50,920","±3,079","338,126","±4,420","32.7%","±0.4","78,677","±3,389","229,725","±6,405","29.2%","±0.7","100,701","±7,549","327,642","±5,498","37.9%","±0.6","94,401","±4,157","71,359","±2,400","42.1%","±1.2","107,946","±9,839","1,176,233","±11,259","34.6%","±0.3","81,525","±1,457"
"    65 years and over","135,913","±3,971","25.3%","±0.7","31,230","±3,363","259,441","±3,924","25.1%","±0.4","40,303","±3,140","217,398","±5,053","27.6%","±0.6","54,198","±5,162","241,372","±4,139","27.9%","±0.5","52,706","±2,957","48,774","±1,744","28.8%","±1.0","64,813","±6,931","902,898","±9,337","26.6%","±0.3","46,359","±1,430"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","326,210","±10,212","326,210","±10,212","56,799","±2,688","593,995","±8,857","593,995","±8,857","84,932","±2,920","321,670","±9,315","321,670","±9,315","142,096","±10,850","571,112","±8,640","571,112","±8,640","92,634","±2,333","121,813","±3,389","121,813","±3,389","113,189","±6,788","1,934,800","±16,975","1,934,800","±16,975","88,053","±1,872"
"        With own children of householder under 18 years","140,487","±7,106","43.1%","±1.7","44,758","±3,291","235,015","±7,861","39.6%","±1.1","80,816","±3,873","116,386","±6,146","36.2%","±1.7","186,062","±34,474","197,593","±6,100","34.6%","±1.0","82,153","±4,224","50,445","±2,649","41.4%","±2.0","113,406","±15,236","739,926","±13,230","38.2%","±0.7","80,530","±2,670"
"        With no own children of householder under 18 years","185,723","±8,177","56.9%","±1.7","66,206","±3,171","358,980","±8,203","60.4%","±1.1","88,170","±3,343","205,284","±8,208","63.8%","±1.7","130,041","±12,211","373,519","±8,737","65.4%","±1.0","98,587","±3,380","71,368","±3,351","58.6%","±2.0","113,125","±7,202","1,194,874","±17,641","61.8%","±0.7","92,415","±1,985"
"        Married-couple families","135,814","±6,791","41.6%","±1.7","83,253","±4,184","374,101","±10,046","63.0%","±1.2","105,134","±6,033","225,182","±7,663","70.0%","±1.5","217,574","±12,006","367,728","±8,452","64.4%","±1.2","107,856","±3,664","85,054","±3,535","69.8%","±2.3","132,625","±5,946","1,187,879","±16,310","61.4%","±0.7","115,979","±3,045"
"            With own children under 18 years","58,015","±4,715","17.8%","±1.4","83,665","±4,354","154,929","±7,068","26.1%","±1.1","111,983","±9,695","76,162","±4,923","23.7%","±1.5","250,000+","***","134,042","±5,816","23.5%","±1.0","105,928","±6,368","35,695","±2,754","29.3%","±2.2","143,969","±9,668","458,843","±12,716","23.7%","±0.7","122,138","±5,064"
"        Female householder, no spouse present","144,162","±6,944","44.2%","±1.7","40,438","±2,843","164,695","±7,127","27.7%","±1.2","54,990","±4,063","71,711","±4,724","22.3%","±1.3","45,753","±9,289","143,228","±6,279","25.1%","±1.1","62,075","±3,482","27,891","±2,855","22.9%","±2.2","67,910","±17,044","551,687","±14,165","28.5%","±0.7","51,279","±1,575"
"            With own children under 18 years","67,122","±5,023","20.6%","±1.4","31,313","±2,682","64,859","±4,878","10.9%","±0.8","37,233","±3,400","30,861","±3,709","9.6%","±1.1","39,605","±10,636","47,677","±4,331","8.3%","±0.8","44,194","±5,578","11,276","±1,867","9.3%","±1.5","44,890","±12,245","221,795","±9,128","11.5%","±0.5","36,574","±1,404"
"        Male householder, no spouse present","46,234","±5,275","14.2%","±1.5","60,104","±14,432","55,199","±3,743","9.3%","±0.6","75,943","±7,124","24,777","±3,584","7.7%","±1.1","60,417","±25,101","60,156","±5,083","10.5%","±0.8","84,224","±7,747","8,868","±1,679","7.3%","±1.4","92,220","±34,598","195,234","±10,050","10.1%","±0.5","71,900","±3,705"
"            With own children under 18 years","15,350","±2,720","4.7%","±0.8","41,625","±9,355","15,227","±2,206","2.6%","±0.4","61,445","±13,853","9,363","±2,882","2.9%","±0.9","135,488","±117,859","15,874","±2,235","2.8%","±0.4","62,571","±15,420","3,474","±1,185","2.9%","±1.0","95,910","±51,596","59,288","±5,736","3.1%","±0.3","54,289","±11,247"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","133,758","±7,289","41.0%","±1.8","47,807","±3,354","261,037","±8,289","43.9%","±1.2","73,937","±3,521","181,955","±8,349","56.6%","±2.0","137,269","±8,451","220,149","±7,186","38.5%","±1.1","71,166","±3,267","42,201","±2,885","34.6%","±2.2","87,751","±9,276","839,100","±16,479","43.4%","±0.7","73,553","±2,576"
"    3-person families","84,019","±7,240","25.8%","±2.0","54,357","±6,265","137,379","±6,112","23.1%","±1.0","92,036","±4,940","76,994","±7,503","23.9%","±2.2","139,151","±28,634","139,694","±6,990","24.5%","±1.2","91,945","±6,595","28,278","±2,713","23.2%","±2.1","124,947","±6,258","466,364","±14,508","24.1%","±0.7","91,343","±3,737"
"    4-person families","59,669","±5,935","18.3%","±1.8","72,619","±6,789","102,866","±5,254","17.3%","±0.9","99,060","±7,747","43,110","±5,405","13.4%","±1.6","220,811","±31,947","115,209","±6,451","20.2%","±1.1","108,247","±6,616","27,749","±2,843","22.8%","±2.2","136,505","±14,707","348,603","±10,913","18.0%","±0.6","104,574","±4,956"
"    5-person families","29,094","±3,804","8.9%","±1.1","81,970","±16,188","49,526","±4,711","8.3%","±0.8","93,212","±11,244","13,751","±3,077","4.3%","±1.0","98,634","±37,470","54,306","±4,621","9.5%","±0.8","114,994","±8,446","14,668","±2,522","12.0%","±2.0","127,966","±23,192","161,345","±9,011","8.3%","±0.5","101,583","±4,877"
"    6-person families","12,490","±3,131","3.8%","±1.0","72,584","±15,204","23,082","±3,116","3.9%","±0.5","92,265","±15,299","3,664","±1,662","1.1%","±0.5","129,413","±55,761","23,306","±3,106","4.1%","±0.5","117,897","±14,615","5,040","±1,350","4.1%","±1.1","89,558","±59,845","67,582","±5,981","3.5%","±0.3","94,254","±8,683"
"    7-or-more person families","7,180","±2,033","2.2%","±0.6","114,340","±21,342","20,105","±2,694","3.4%","±0.5","101,810","±24,998","2,196","±1,478","0.7%","±0.5","250,000+","***","18,448","±3,016","3.2%","±0.5","162,315","±31,164","3,877","±1,292","3.2%","±1.1","139,141","±50,449","51,806","±4,120","2.7%","±0.2","136,779","±10,660"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","48,534","±5,333","14.9%","±1.6","16,223","±2,052","80,131","±5,192","13.5%","±0.8","22,053","±2,126","46,851","±4,879","14.6%","±1.5","24,168","±4,641","73,086","±4,258","12.8%","±0.7","33,156","±4,672","17,281","±2,020","14.2%","±1.5","35,938","±5,545","265,883","±9,386","13.7%","±0.5","24,154","±1,275"
"    1 earner","125,787","±7,736","38.6%","±1.9","41,968","±1,834","199,147","±8,546","33.5%","±1.3","54,690","±3,107","106,407","±8,548","33.1%","±2.2","80,564","±9,190","166,787","±6,796","29.2%","±1.1","60,808","±2,082","34,859","±3,175","28.6%","±2.6","75,762","±11,658","632,987","±15,174","32.7%","±0.7","55,937","±2,297"
"    2 earners","107,740","±6,293","33.0%","±1.7","77,296","±8,279","245,331","±9,021","41.3%","±1.4","129,254","±5,948","151,437","±6,719","47.1%","±2.1","250,000+","***","221,369","±7,726","38.8%","±1.2","114,194","±3,050","50,527","±3,420","41.5%","±2.5","134,674","±8,600","776,404","±16,123","40.1%","±0.7","127,562","±3,192"
"    3 or more earners","44,149","±4,733","13.5%","±1.4","118,813","±7,813","69,386","±4,729","11.7%","±0.8","145,101","±9,803","16,975","±2,605","5.3%","±0.8","169,029","±29,996","109,870","±5,884","19.2%","±1.0","150,636","±5,303","19,146","±2,310","15.7%","±1.9","180,335","±22,011","259,526","±8,891","13.4%","±0.5","146,510","±3,676"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","211,743","±9,634","211,743","±9,634","27,408","±2,736","441,554","±9,262","441,554","±9,262","61,448","±1,588","466,077","±12,044","466,077","±12,044","82,636","±3,416","292,863","±7,130","292,863","±7,130","55,239","±3,255","47,713","±3,397","47,713","±3,397","41,501","±6,258","1,459,950","±18,957","1,459,950","±18,957","59,159","±2,060"
"        Female householder","120,672","±7,110","57.0%","±2.2","22,091","±1,954","244,795","±7,630","55.4%","±1.2","53,733","±4,601","263,566","±7,974","56.5%","±1.2","74,783","±4,450","154,708","±6,769","52.8%","±1.7","45,164","±3,241","26,109","±2,685","54.7%","±3.9","35,110","±3,517","809,850","±15,192","55.5%","±0.8","50,900","±1,586"
"            Living alone","111,107","±6,542","52.5%","±2.2","20,924","±1,452","190,927","±7,334","43.2%","±1.3","40,492","±2,837","221,417","±8,193","47.5%","±1.3","61,752","±3,986","127,934","±6,881","43.7%","±1.8","39,250","±3,169","23,557","±2,741","49.4%","±4.1","32,010","±3,765","674,942","±15,450","46.2%","±0.8","40,734","±1,310"
"            Not living alone","9,565","±2,060","4.5%","±0.9","72,376","±30,391","53,868","±3,623","12.2%","±0.8","136,568","±10,851","42,149","±4,048","9.0%","±0.9","170,658","±19,636","26,774","±3,018","9.1%","±1.0","96,909","±21,474","2,552","±860","5.3%","±1.8","84,286","±51,746","134,908","±5,675","9.2%","±0.4","127,964","±8,162"
"        Male householder","91,071","±6,291","43.0%","±2.2","35,004","±4,405","196,759","±6,710","44.6%","±1.2","71,738","±5,150","202,511","±8,079","43.5%","±1.2","95,834","±6,984","138,155","±5,295","47.2%","±1.7","67,223","±4,467","21,604","±2,397","45.3%","±3.9","64,804","±18,477","650,100","±13,903","44.5%","±0.8","69,132","±3,873"
"            Living alone","76,940","±5,870","36.3%","±2.2","30,640","±4,993","142,432","±5,956","32.3%","±1.2","49,991","±4,097","154,930","±8,361","33.2%","±1.5","79,977","±8,557","104,524","±4,837","35.7%","±1.5","51,362","±5,345","17,247","±2,355","36.1%","±4.1","49,755","±12,697","496,073","±14,019","34.0%","±0.8","51,890","±2,355"
"            Not living alone","14,131","±2,723","6.7%","±1.3","70,106","±20,900","54,327","±4,195","12.3%","±0.9","143,525","±8,611","47,581","±4,643","10.2%","±1.0","188,699","±21,241","33,631","±3,255","11.5%","±1.1","125,742","±10,584","4,357","±1,127","9.1%","±2.3","133,660","±35,456","154,027","±7,621","10.6%","±0.5","140,934","±4,396"
